Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.02     0.00      348     0.00     0.00  camlFilename__add_bs_1073
  0.00      0.02     0.00      348     0.00     0.00  camlWeak__fun_1377
  0.00      0.02     0.00      320     0.00     0.00  camlGenlex__get_string_1022
  0.00      0.02     0.00      320     0.00     0.00  camlWeak__loop_1139
  0.00      0.02     0.00      288     0.00     0.00  camlMoGraph__get_parent_vertex_6046
  0.00      0.02     0.00      264     0.00     0.00  camlMoGraph__step_6073
  0.00      0.02     0.00      240     0.00     0.00  camlPrintexc__entry
  0.00      0.02     0.00      229     0.00     0.00  camlFormat__strput_acc_1533
  0.00      0.02     0.00      220     0.00     0.00  camlFormat__peek_queue_1093
  0.00      0.02     0.00      207     0.00     0.00  camlList__rev_sort_1267
  0.00      0.02     0.00      189     0.00     0.00  camlGenlex__make_lexer_1024
  0.00      0.02     0.00      182     0.00     0.00  camlMap__add_1082
  0.00      0.02     0.00      177     0.00     0.00  camlBytes__escaped_1107
  0.00      0.02     0.00      176     0.00     0.00  camlMoGraph__get_parent_vertices_6044
  0.00      0.02     0.00      160     0.00     0.00  camlWeak__loop_1228
  0.00      0.02     0.00      150     0.00     0.00  camlWeak__count_bucket_1122
  0.00      0.02     0.00      146     0.00     0.00  camlBytes__is_space_1101
  0.00      0.02     0.00      143     0.00     0.00  camlBytes__cat_1092
  0.00      0.02     0.00      123     0.00     0.00  caml_input_val_from_string
  0.00      0.02     0.00      120     0.00     0.00  camlMoGraph__get_child_vertex_6051
  0.00      0.02     0.00      112     0.00     0.00  camlMoGraph__get_child_vertices_6049
  0.00      0.02     0.00      102     0.00     0.00  camlMoGraph__f_6010
  0.00      0.02     0.00      101     0.00     0.00  camlWeak__add_aux_1143
  0.00      0.02     0.00       97     0.00     0.00  camlFilename__is_implicit_1060
  0.00      0.02     0.00       96     0.00     0.00  caml_MD5Transform
  0.00      0.02     0.00       95     0.00     0.00  camlMoGraph__create_5657
  0.00      0.02     0.00       94     0.00     0.00  camlWeak__test_shrink_bucket_1132
  0.00      0.02     0.00       92     0.00     0.00  caml_make_vect
  0.00      0.02     0.00       87     0.00     0.00  camlFormat__entry
  0.00      0.02     0.00       87     0.00     0.00  camlWeak__next_sz_1128
  0.00      0.02     0.00       72     0.00     0.00  camlBytes__init_1024
  0.00      0.02     0.00       71     0.00     0.00  camlMoGraph__get_parent_edge_6036
  0.00      0.02     0.00       67     0.00     0.00  caml_MD5Update
